Ligand,Binding Affinity,rmsd/ub, rmsd/lb
7ouz_CHEMBL363392(Active)MARALIXIBAT,-9.0,0.0,0.0
7ouz_CHEMBL363392(Active)MARALIXIBAT,-8.8,35.121,29.874
7ouz_CHEMBL363392(Active)MARALIXIBAT,-8.6,11.331,4.962
7ouz_CHEMBL363392(Active)MARALIXIBAT,-8.6,15.979,7.339
7ouz_CHEMBL363392(Active)MARALIXIBAT,-8.6,37.076,31.993
7ouz_CHEMBL363392(Active)MARALIXIBAT,-8.6,10.942,4.034
7ouz_CHEMBL363392(Active)MARALIXIBAT,-8.6,11.039,4.169
7ouz_CHEMBL363392(Active)MARALIXIBAT,-8.5,34.356,30.621
7ouz_CHEMBL363392(Active)MARALIXIBAT,-8.5,6.851,3.929
7ouz_CHEMBL1009(Inactive)LEVODOPA,-6.0,0.0,0.0
7ouz_CHEMBL1009(Inactive)LEVODOPA,-6.0,2.148,1.579
7ouz_CHEMBL1009(Inactive)LEVODOPA,-5.9,29.482,28.317
7ouz_CHEMBL1009(Inactive)LEVODOPA,-5.9,26.043,24.79
7ouz_CHEMBL1009(Inactive)LEVODOPA,-5.8,29.117,28.152
7ouz_CHEMBL1009(Inactive)LEVODOPA,-5.8,25.82,25.216
7ouz_CHEMBL1009(Inactive)LEVODOPA,-5.7,26.895,24.921
7ouz_CHEMBL1009(Inactive)LEVODOPA,-5.6,38.412,36.86
7ouz_CHEMBL1009(Inactive)LEVODOPA,-5.6,25.47,24.814
7ouz_CHEMBL1118(Inactive)DESVENLAFAXINE,-6.5,0.0,0.0
7ouz_CHEMBL1118(Inactive)DESVENLAFAXINE,-6.5,25.193,23.862
7ouz_CHEMBL1118(Inactive)DESVENLAFAXINE,-6.4,4.239,2.437
7ouz_CHEMBL1118(Inactive)DESVENLAFAXINE,-6.3,3.82,2.662
7ouz_CHEMBL1118(Inactive)DESVENLAFAXINE,-6.3,37.341,35.26
7ouz_CHEMBL1118(Inactive)DESVENLAFAXINE,-6.2,25.305,23.766
7ouz_CHEMBL1118(Inactive)DESVENLAFAXINE,-6.2,4.501,2.341
7ouz_CHEMBL1118(Inactive)DESVENLAFAXINE,-6.2,25.645,23.86
7ouz_CHEMBL1118(Inactive)DESVENLAFAXINE,-6.2,5.653,2.975
7ouz_CHEMBL429910(Active)DAPAGLIFLOZIN,-8.8,0.0,0.0
7ouz_CHEMBL429910(Active)DAPAGLIFLOZIN,-8.5,28.982,26.621
7ouz_CHEMBL429910(Active)DAPAGLIFLOZIN,-8.2,30.635,27.065
7ouz_CHEMBL429910(Active)DAPAGLIFLOZIN,-8.2,30.138,26.49
7ouz_CHEMBL429910(Active)DAPAGLIFLOZIN,-8.1,2.838,1.425
7ouz_CHEMBL429910(Active)DAPAGLIFLOZIN,-8.0,37.658,34.262
7ouz_CHEMBL429910(Active)DAPAGLIFLOZIN,-7.9,31.086,28.453
7ouz_CHEMBL429910(Active)DAPAGLIFLOZIN,-7.9,3.141,1.87
7ouz_CHEMBL429910(Active)DAPAGLIFLOZIN,-7.7,29.273,26.856
7ouz_CHEMBL1770248(Active)ERTUGLIFLOZIN,-5.2,0.0,0.0
7ouz_CHEMBL1770248(Active)ERTUGLIFLOZIN,-5.0,35.469,34.382
7ouz_CHEMBL1770248(Active)ERTUGLIFLOZIN,-4.8,19.516,18.869
7ouz_CHEMBL1770248(Active)ERTUGLIFLOZIN,-4.8,27.398,26.738
7ouz_CHEMBL1770248(Active)ERTUGLIFLOZIN,-4.7,15.398,14.538
7ouz_CHEMBL1770248(Active)ERTUGLIFLOZIN,-4.7,26.001,25.101
7ouz_CHEMBL1770248(Active)ERTUGLIFLOZIN,-4.7,11.184,9.168
7ouz_CHEMBL1770248(Active)ERTUGLIFLOZIN,-4.6,28.021,27.442
7ouz_CHEMBL1770248(Active)ERTUGLIFLOZIN,-4.6,41.518,40.857
